Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Bahrain,BHR,243.3681159,250.8797101,258.0405797,264.8898551,271.5188406,277.9449275,284.3521739,291.2362319,299.2304348,308.8434783,320.0115942,332.7362319,347.6231884,365.4188406,386.5014493,411.3666667,439.4724638,468.8565217,496.8536232,521.5971014,542.2101449,559.3478261,574.5608696,590.1782609,607.8623188,628.242029,650.715942,674.2536232,697.284058,718.7594203,738.6289855,736.2647887,754.4957746,773.4521127,793.9859155,816.6971831,842.0197183,870.4985915,902.6816901,939.2323944,978.7225352,1021.640845,1057.770833,1106.834247,1171.640541,1271.362162,1368.757333,1468.127632,1574.702632,1655.274278,1702.756193,1731.918182,1752.502597,1768.74026,1788.619481
"Bahamas, The",BHS,11.4993007,12.0962038,12.72037962,13.35634366,13.99090909,14.62177822,15.24545455,15.84705295,16.40859141,16.91868132,17.36933067,17.76663337,18.13076923,18.49120879,18.86933067,19.27122877,19.69210789,20.13096903,20.58321678,21.04495504,21.51888112,22.00549451,22.496004,22.97862138,23.44495504,23.88931069,24.31478521,24.73286713,25.16033966,25.60819181,26.08561439,26.58671329,27.08941059,27.56273726,27.98711289,28.35084915,28.66813187,28.97642358,29.32787213,29.75934066,30.28351648,30.88611389,31.54415584,32.22167832,32.89140859,33.54655345,34.19170829,34.82387612,35.44255744,36.04695305,36.63446553,37.2015984,37.74635365,38.26713287,38.76313686
Bosnia and Herzegovina,BIH,64.25678431,65.52566667,66.79345098,68.00162745,69.10972549,70.0974902,70.98033333,71.79690196,72.60458824,73.44386275,74.33231373,75.25494118,76.18096078,77.06437255,77.87466667,78.59629412,79.2475098,79.87215686,80.53205882,81.26913725,82.06027451,82.8757451,83.73721569,84.67256863,85.677,86.83254902,88.07343137,89.07366667,89.39717647,88.76462745,87.01760784,84.00720703,80.88216797,77.97375,75.76714844,74.42673828,73.81550781,73.74800781,73.91384766,74.07964844,74.21380859,74.38177734,74.55689453,74.7240625,74.87064453,74.97078125,75.00816406,74.99509766,74.95570313,74.90738281,74.84980469,74.77380859,74.67837891,74.56160156,74.4221875
Belarus,BLR,40.77704595,41.17495563,41.59550385,42.02437389,42.44724906,42.87367383,43.31319266,43.75148886,44.17424571,44.56714652,44.93973575,45.30155788,45.63829619,45.935634,46.17925458,46.39617432,46.65253402,46.95819365,47.2490633,47.53993295,47.87024256,48.19562217,48.52593177,48.85624137,49.17669099,49.51193059,49.84717018,49.99014001,50.13803983,50.23170972,50.25635969,50.36481956,50.47820943,50.4190495,50.25635969,50.08873989,49.87675015,49.64011043,49.47249063,49.32459081,48.94498127,48.63678943,48.3015333,47.97593807,47.64088153,47.3336619,47.11680631,46.95909315,46.87407553,46.77180877,46.68572273,46.64136809,46.65122468,46.73500567,46.88285447
Belize,BLZ,4.151731697,4.269574748,4.391319597,4.518632179,4.652389303,4.793686979,4.940771591,5.088163086,5.228408593,5.356378781,5.470933801,5.574221833,5.668303376,5.756510302,5.842218325,5.924813678,6.005743095,6.092590969,6.195002192,6.319640509,6.469355546,6.641736081,6.83121438,7.029460763,7.229986848,7.434020167,7.642525208,7.848531346,8.043402017,8.222358615,8.379088119,8.519114423,8.66352477,8.8416484,9.073301184,9.367558089,9.715387988,10.09596668,10.47891276,10.84226217,11.17882508,11.49504603,11.79886015,12.1036826,12.41907058,12.74664621,13.08211311,13.42240246,13.76260412,14.09947391,14.43195967,14.76137659,15.08956598,15.41893906,15.75129329
Bermuda,BMU,910,932,954,978,1002,1020,1040,1060,1080,1100,1092,1084,1076,1068,1060,1064,1068,1072,1076,1093.4,1101,1108.98,1118.6,1128.46,1137.96,1147.64,1156.98,1166.94,1176.82,1186.52,1180.42,1171.9,1178.2,1186.4,1194.92,1202.58,1209.94,1218.86,1225.7,1236.66,1250.08,1258.24,1266.5,1274.8,1283.08,1290.46,1297.76,1305.46,1312.72,1302.48,1291.28,1295.96,1300.02,1302.78,1304.7
Bolivia,BOL,3.475320779,3.542966861,3.612477615,3.683979507,3.75758331,3.83334718,3.911313579,3.991568356,4.074202899,4.159303979,4.246834672,4.336831903,4.429530139,4.525222007,4.624073664,4.726145112,4.831235115,4.93890889,5.048576572,5.159763685,5.272406536,5.386491277,5.501672667,5.61755654,5.733913967,5.850542786,5.967632235,6.085836795,6.206079572,6.329037201,6.454833379,6.583309333,6.714505677,6.848392874,6.984875842,7.124014585,7.265632789,7.409080587,7.553503185,7.698247946,7.843051786,7.987947014,8.132945629,8.278168559,8.42370996,8.569505216,8.715482323,8.861733592,9.008399335,9.155584787,9.303275178,9.451455737,9.600231699,9.749734146,9.900032309
Brazil,BRA,8.938219269,9.213479195,9.495946825,9.781099862,10.06564391,10.34859275,10.63079573,10.91307504,11.19695841,11.48370965,11.77321749,12.06541061,12.36169614,12.66385512,12.97313565,13.28956718,13.61265389,13.94235476,14.27846913,14.62044438,14.96832812,15.3209634,15.67505892,16.02635885,16.37163627,16.71001431,17.04176755,17.36635998,17.68357745,17.99361377,18.29556002,18.59014195,18.88126066,19.17418325,19.47264032,19.77750492,20.08746384,20.40124741,20.71669845,21.03176556,21.34678242,21.6609906,21.96988074,22.26767714,22.55038083,22.81587064,23.0654812,23.30299516,23.53409945,23.76296736,23.99069458,24.21610358,24.43837708,24.65595192,24.86767726
Barbados,BRB,538.7767442,540.8930233,543.2255814,545.4581395,547.3790698,548.9372093,550.2790698,551.6255814,553.2813953,555.4581395,558.227907,561.4906977,565.0697674,568.6953488,572.1697674,575.4511628,578.5697674,581.4767442,584.1302326,586.5046512,588.5581395,590.3162791,591.8953488,593.4767442,595.1837209,597.0651163,599.0906977,601.2186047,603.3813953,605.5209302,607.6302326,609.7302326,611.8395349,613.9883721,616.1906977,618.4651163,620.8,623.1372093,625.3953488,627.5302326,629.5023256,631.3465116,633.1651163,635.0953488,637.2395349,639.627907,642.2186047,644.9186047,647.5953488,650.1534884,652.5627907,654.8372093,656.9837209,659.0232558,660.9651163
Brunei Darussalam,BRN,16.25939279,17.00246679,17.77039848,18.58311195,19.4544592,20.38899431,21.38140417,22.42428843,23.5056926,24.61650854,25.75256167,26.91385199,28.09620493,29.29696395,30.51214421,31.74250474,32.98406072,34.22333966,35.44326376,36.63320683,37.78671727,38.91100569,40.02523719,41.15616698,42.32428843,43.53282732,44.77798861,46.0626186,47.3886148,48.75502846,50.16413662,51.61081594,53.0772296,54.53946869,55.97912713,57.39070209,58.77533207,60.12770398,61.44440228,62.72371917,63.96091082,65.15806452,66.32960152,67.49525617,68.66963947,69.85768501,71.05483871,72.25540797,73.44971537,74.63036053,75.79563567,76.94724858,78.08330171,79.20189753,80.30132827
